1,2,3,4,5
116500,4,7-8-2025,16:46,Finger
116501,7,7-8-2025,16:59,Finger
116502,31,7-8-2025,17:44,Finger
116503,350080,7-8-2025,17:59,Finger
116504,350081,7-8-2025,17:59,Finger
116505,350083,7-8-2025,18:26,Finger
116506,350085,7-8-2025,18:37,Finger
116507,288,7-8-2025,18:41,Finger
116508,35086,7-8-2025,18:52,Finger
116509,32,7-8-2025,18:54,Finger
116510,350016,7-8-2025,19:11,Finger
116511,350038,7-8-2025,21:33,Finger
116512,4,8-8-2025,07:48,Finger
116513,7,8-8-2025,07:51,Finger
116514,350038,8-8-2025,08:35,Finger
116515,30,8-8-2025,08:38,Finger
116516,350083,8-8-2025,08:56,Finger
116517,350080,8-8-2025,09:00,Finger
116518,350081,8-8-2025,09:08,Finger
116519,350085,8-8-2025,09:13,Finger
116520,32,8-8-2025,09:15,Finger
116521,31,8-8-2025,09:25,Finger
116522,35086,8-8-2025,09:45,Finger
116523,350087,8-8-2025,09:54,Finger
116524,288,8-8-2025,10:04,Finger
116525,350016,8-8-2025,10:20,Finger
116526,4,8-8-2025,16:45,Finger
116527,7,8-8-2025,17:00,Finger
116528,30,8-8-2025,17:55,Finger
116529,288,8-8-2025,17:57,Finger
116530,350080,8-8-2025,17:59,Finger
116531,350081,8-8-2025,18:12,Finger
116532,350016,8-8-2025,18:50,Finger
116533,350085,8-8-2025,18:55,Finger
116534,35086,8-8-2025,18:56,Finger
116535,31,8-8-2025,18:56,Finger
116536,32,8-8-2025,18:57,Finger
116537,350087,8-8-2025,18:58,Finger
116538,350038,8-8-2025,20:38,Finger
116539,350038,9-8-2025,10:13,Finger
116540,350016,9-8-2025,11:02,Finger
116541,32,9-8-2025,11:23,Finger
116542,350016,9-8-2025,18:26,Finger
116543,350016,9-8-2025,18:43,Finger
116544,32,9-8-2025,19:16,Finger
116545,350087,9-8-2025,19:43,Finger
116546,350038,10-8-2025,08:34,Finger
116547,350081,10-8-2025,08:47,Finger
116548,350016,10-8-2025,09:21,Finger
116549,350087,10-8-2025,09:21,Finger
116550,32,10-8-2025,09:30,Finger
116551,350080,10-8-2025,16:56,Finger
116552,350081,10-8-2025,17:57,Finger
116553,32,10-8-2025,18:57,Finger
116554,350087,10-8-2025,18:57,Finger
116555,350038,10-8-2025,19:59,Finger
116556,7,11-8-2025,07:53,Finger
116557,350038,11-8-2025,08:33,Finger
116558,30,11-8-2025,08:37,Finger
116559,350080,11-8-2025,09:02,Finger
116560,350083,11-8-2025,09:03,Finger
116561,31,11-8-2025,09:15,Finger
116562,350085,11-8-2025,09:17,Finger
116563,350016,11-8-2025,09:31,Finger
116564,350081,11-8-2025,09:41,Finger
116565,350087,11-8-2025,09:56,Finger
116566,4,11-8-2025,16:43,Finger
116567,7,11-8-2025,16:59,Finger
116568,30,11-8-2025,17:45,Finger
116569,350080,11-8-2025,18:07,Finger
116570,350083,11-8-2025,18:39,Finger
116571,350081,11-8-2025,18:42,Finger
116572,350038,11-8-2025,20:14,Finger
116573,350016,11-8-2025,20:14,Finger
116574,350085,11-8-2025,20:41,Finger
116575,31,11-8-2025,20:48,Finger
116576,350087,11-8-2025,20:50,Finger
116577,7,12-8-2025,07:52,Finger
116578,4,12-8-2025,08:00,Finger
116579,350038,12-8-2025,08:31,Finger
116580,30,12-8-2025,08:43,Finger
116581,350083,12-8-2025,09:01,Finger
116582,350081,12-8-2025,09:02,Finger
116583,31,12-8-2025,09:17,Finger
116584,350085,12-8-2025,09:25,Finger
116585,32,12-8-2025,09:27,Finger
116586,350080,12-8-2025,10:32,Finger
116587,4,12-8-2025,16:45,Finger
116588,7,12-8-2025,17:01,Finger
116589,31,12-8-2025,18:08,Finger
116590,350081,12-8-2025,18:09,Finger
116591,350080,12-8-2025,18:37,Finger
116592,350083,12-8-2025,19:02,Finger
116593,32,12-8-2025,19:21,Finger
116594,350085,12-8-2025,19:28,Finger
116595,350038,12-8-2025,19:55,Finger
116596,4,13-8-2025,07:40,Finger
116597,7,13-8-2025,07:58,Finger
116598,30,13-8-2025,08:31,Finger
116599,350038,13-8-2025,08:41,Finger
116600,350080,13-8-2025,08:58,Finger
116601,350081,13-8-2025,09:03,Finger
116602,350085,13-8-2025,09:09,Finger
116603,350083,13-8-2025,09:09,Finger
116604,31,13-8-2025,09:15,Finger
116605,350016,13-8-2025,09:19,Finger
116606,32,13-8-2025,09:29,Finger
116607,350087,13-8-2025,10:00,Finger
116608,7,13-8-2025,17:03,Finger
116609,4,13-8-2025,17:04,Finger
116610,350080,13-8-2025,18:05,Finger
116611,350081,13-8-2025,18:05,Finger
116612,31,13-8-2025,18:13,Finger
116613,30,13-8-2025,18:20,Finger
116614,350085,13-8-2025,18:34,Finger
116615,350016,13-8-2025,18:44,Finger
116616,32,13-8-2025,18:51,Finger
116617,350083,13-8-2025,18:54,Finger
116618,350038,13-8-2025,19:55,Finger
116619,350087,13-8-2025,19:55,Finger
116620,4,14-8-2025,07:55,Finger
116621,7,14-8-2025,08:18,Finger
116622,30,14-8-2025,08:52,Finger
116623,350083,14-8-2025,09:02,Finger
116624,350081,14-8-2025,09:10,Finger
116625,32,14-8-2025,09:25,Finger
116626,350080,14-8-2025,09:39,Finger
116627,31,14-8-2025,09:44,Finger
116628,350085,14-8-2025,09:46,Finger
116629,350038,14-8-2025,09:52,Finger
116630,350016,14-8-2025,10:22,Finger
116631,350087,14-8-2025,10:50,Finger
116632,7,14-8-2025,17:23,Finger
116633,350081,14-8-2025,18:12,Finger
116634,350085,14-8-2025,18:24,Finger
116635,350080,14-8-2025,18:32,Finger
116636,350080,14-8-2025,18:39,Finger
116637,32,14-8-2025,18:54,Finger
116638,350083,14-8-2025,19:04,Finger
116639,350038,14-8-2025,20:21,Finger
116640,350087,14-8-2025,20:57,Finger
116641,4,16-8-2025,07:59,Finger
116642,350038,16-8-2025,08:34,Finger
116643,30,16-8-2025,08:42,Finger
116644,350080,16-8-2025,08:56,Finger
116645,350083,16-8-2025,09:08,Finger
116646,32,16-8-2025,09:15,Finger
116647,350081,16-8-2025,09:19,Finger
116648,350085,16-8-2025,09:22,Finger
116649,350016,16-8-2025,09:40,Finger
116650,350087,16-8-2025,09:45,Finger
116651,35086,16-8-2025,09:46,Finger
116652,288,16-8-2025,09:49,Finger
116653,4,16-8-2025,16:45,Finger
116654,288,16-8-2025,16:45,Finger
116655,350080,16-8-2025,17:58,Finger
116656,350083,16-8-2025,18:19,Finger
116657,350081,16-8-2025,18:19,Finger
116658,350085,16-8-2025,18:30,Finger
116659,32,16-8-2025,18:44,Finger
116660,350016,16-8-2025,18:45,Finger
116661,35086,16-8-2025,18:46,Finger
116662,350087,16-8-2025,18:59,Finger
116663,350038,16-8-2025,19:50,Finger
116664,350080,17-8-2025,07:49,Finger
116665,4,17-8-2025,07:58,Finger
116666,350038,17-8-2025,08:53,Finger
116667,350083,17-8-2025,09:06,Finger
116668,350085,17-8-2025,09:14,Finger
116669,32,17-8-2025,09:22,Finger
116670,35086,17-8-2025,09:39,Finger
116671,350087,17-8-2025,09:41,Finger
116672,350081,17-8-2025,11:36,Finger
116673,4,17-8-2025,15:46,Finger
116674,350081,17-8-2025,16:16,Finger
116675,350080,17-8-2025,17:14,Finger
116676,32,17-8-2025,18:31,Finger
116677,350083,17-8-2025,18:49,Finger
